127.0.0.1, 2014-01-12 18:07:45, GET, /py2manager/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002920
127.0.0.1, 2014-01-12 18:07:45, GET, /py2manager/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002905
127.0.0.1, 2014-01-12 18:07:45, GET, /py2manager/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002178
127.0.0.1, 2014-01-12 18:07:45, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.002969
127.0.0.1, 2014-01-12 18:07:45, GET, /py2manager/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.002899
127.0.0.1, 2014-01-12 18:07:45, GET, /py2manager/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002041
127.0.0.1, 2014-01-12 18:07:46, GET, /py2manager/static/images/gplus-32.png, HTTP/1.1, 304, 0.003146
127.0.0.1, 2014-01-12 18:07:46, GET, /py2manager/static/images/facebook.png, HTTP/1.1, 304, 0.002542
127.0.0.1, 2014-01-12 18:07:46, GET, /py2manager/static/images/twitter.png, HTTP/1.1, 304, 0.004914
127.0.0.1, 2014-01-12 18:07:54, GET, /py2manager/index, HTTP/1.1, 404, 0.112580
127.0.0.1, 2014-01-12 18:08:02, GET, /py2manager/index, HTTP/1.1, 404, 0.028922
127.0.0.1, 2014-01-12 18:08:42, GET, /, HTTP/1.1, 303, 0.000413
127.0.0.1, 2014-01-12 18:08:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.228694
127.0.0.1, 2014-01-12 18:08:42, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000485
127.0.0.1, 2014-01-12 18:09:56, GET, /py2manager/user/login, HTTP/1.1, 404, 0.052939
127.0.0.1, 2014-01-12 18:11:56, GET, /py2manager/user/login, HTTP/1.1, 404, 0.022456
127.0.0.1, 2014-01-12 18:11:57, GET, /py2manager/user/login, HTTP/1.1, 404, 0.011967
127.0.0.1, 2014-01-12 18:12:00, GET, /py2manager/user/login, HTTP/1.1, 404, 0.017060
127.0.0.1, 2014-01-12 18:12:12, GET, /, HTTP/1.1, 303, 0.000796
127.0.0.1, 2014-01-12 18:12:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.063155
127.0.0.1, 2014-01-12 18:12:12, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000298
127.0.0.1, 2014-01-12 18:12:17, GET, /py2manager/user/login, HTTP/1.1, 404, 0.044388
127.0.0.1, 2014-01-12 18:12:18, GET, /py2manager/user/login, HTTP/1.1, 404, 0.014033
127.0.0.1, 2014-01-12 18:14:01, GET, /py2manager/user/login, HTTP/1.1, 404, 0.018991
127.0.0.1, 2014-01-12 18:14:10, GET, /, HTTP/1.1, 303, 0.000602
127.0.0.1, 2014-01-12 18:14:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.063431
127.0.0.1, 2014-01-12 18:14:10, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000287
127.0.0.1, 2014-01-12 18:14:14, GET, /py2manager/user/login, HTTP/1.1, 404, 0.041153
127.0.0.1, 2014-01-12 18:14:50, GET, /, HTTP/1.1, 303, 0.001723
127.0.0.1, 2014-01-12 18:14:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.059896
127.0.0.1, 2014-01-12 18:14:50, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000305
127.0.0.1, 2014-01-12 18:15:00, GET, /py2manager/default/index, HTTP/1.1, 200, 0.051396
127.0.0.1, 2014-01-12 18:15:00, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000265
127.0.0.1, 2014-01-12 18:15:15, GET, /py2manager/index, HTTP/1.1, 404, 0.016571
127.0.0.1, 2014-01-12 18:15:27, GET, /py2manager/default/index, HTTP/1.1, 200, 0.022965
127.0.0.1, 2014-01-12 18:21:41, GET, /py2manager/default/index, HTTP/1.1, 200, 0.028873
127.0.0.1, 2014-01-12 18:21:41, GET, /py2manager/static/css/calendar.css, HTTP/1.1, 304, 0.000521
127.0.0.1, 2014-01-12 18:21:41, GET, /py2manager/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001256
127.0.0.1, 2014-01-12 18:21:41, GET, /py2manager/static/js/jquery.js, HTTP/1.1, 304, 0.000543
127.0.0.1, 2014-01-12 18:21:41, GET, /py2manager/static/js/calendar.js, HTTP/1.1, 304, 0.000902
127.0.0.1, 2014-01-12 18:21:41, GET, /py2manager/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000922
127.0.0.1, 2014-01-12 18:21:41, GET, /py2manager/static/js/web2py.js, HTTP/1.1, 304, 0.001344
127.0.0.1, 2014-01-12 18:21:41, GET, /py2manager/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001568
127.0.0.1, 2014-01-12 18:21:41, GET, /py2manager/static/css/web2py.css, HTTP/1.1, 304, 0.001081
127.0.0.1, 2014-01-12 18:21:41, GET, /py2manager/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001029
127.0.0.1, 2014-01-12 18:21:41, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.001032
127.0.0.1, 2014-01-12 18:21:41, GET, /py2manager/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001030
127.0.0.1, 2014-01-12 18:21:41, GET, /py2manager/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000395
127.0.0.1, 2014-01-12 18:21:42, GET, /py2manager/static/images/twitter.png, HTTP/1.1, 304, 0.001321
127.0.0.1, 2014-01-12 18:21:42, GET, /py2manager/static/images/facebook.png, HTTP/1.1, 304, 0.000701
127.0.0.1, 2014-01-12 18:21:42, GET, /py2manager/static/images/gplus-32.png, HTTP/1.1, 304, 0.001338
127.0.0.1, 2014-01-12 18:21:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.023501
